city,house_title,house_type,price,owner_name,no_of_reviews,rating,url,no_of_guest,house_size,no_of_beds,no_of_baths,rooms,beds,bath
Jackson Hole Ski Area,RMR: 4BR Home + Hot Tub + Free Activities!,Casa entera,13112.0,Rendezvous Mountain Rentals,2,,https://www.airbnb.mx/rooms/7261497?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,10.0, '4 recámaras', '6 camas', '4,4.0,6.0,4.0
Jackson Hole Ski Area,"RMR: 1BR +Loft, Ski In/Ski Out Condo + Free Fun!",Departamento entero,5236.0,Rendezvous Mountain Rentals,1,,https://www.airbnb.mx/rooms/7261470?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,5.0, '1 recámara', '3 camas', '2 baños completos y uno de tocador',1.0,3.0,2.0
Jackson Hole Ski Area,Teton Village-Luxury Home-Private Hot Tub-Mountain Paradise-Perfection!,Villa completa,37066.0,Abode Luxury Rentals,1,,https://www.airbnb.mx/rooms/15705195?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,10.0, '4 recámaras', '4 camas', '4 baños',4.0,4.0,4.0
Jackson Hole Ski Area,Timber Ridge 6: Teton Village- Pool/Hot Tub Access,Casa adosada completa,8263.0,Jackson Hole Reservations,,,https://www.airbnb.mx/rooms/18864344?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,14.0, '2 recámaras', '2 camas', '3 baños',2.0,2.0,3.0
Jackson Hole Ski Area,RMR: Private 4 BR-near Nat'l Parks Free Activities,Casa entera,8324.0,Rendezvous Mountain Rentals,,,https://www.airbnb.mx/rooms/29214490?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,10.0, '4 recámaras', '5 camas', '2 baños',4.0,5.0,2.0
Jackson Hole Ski Area,Moose_Creek8,Condominio completo,8243.0,VacayHome Connect,,,https://www.airbnb.mx/rooms/25957523?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,6.0, '3 recámaras', '5 camas', '3 baños completos y uno de tocador',3.0,5.0,3.0
Jackson Hole Ski Area,Wind River 6: Teton Village- Pool & Hot Tub Access,Casa adosada completa,7181.0,Jackson Hole Reservations,1,,https://www.airbnb.mx/rooms/18864346?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,8.0, '2 recámaras', '2 camas', '4,2.0,2.0,4.0
Jackson Hole Ski Area,Teton Club-Ski-in/Out to Tram & Gondola-3 Bedroom,Habitación privada en complejo turístico,8958.0,Timothy,4,5.0,https://www.airbnb.mx/rooms/15564756?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,8.0, '3 recámaras', '6 camas', '3 baños',3.0,6.0,3.0
Jackson Hole Ski Area,Ski-In/Ski-Out House!,Casa entera,11486.0,Lindsay,21,5.0,https://www.airbnb.mx/rooms/1442617?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,7.0, '3 recámaras', '5 camas', '3 baños',3.0,5.0,3.0
Jackson Hole Ski Area,Luxury Teton Club 2 Bed 2 Bath in Teton Village,Departamento con servicios completo,18340.0,Devika,1,,https://www.airbnb.mx/rooms/34706957?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,6.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Jackson Hole Ski Area,RMR: Exquisite 7 BR Luxury + Free Activities,Casa entera,50950.0,Rendezvous Mountain Rentals,,,https://www.airbnb.mx/rooms/25189354?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,16.0, '7 recámaras', '11 camas', '7,7.0,11.0,7.0
Jackson Hole Ski Area,Spring Hiking! Hot Tub! Upgrades! Granite Ridge,Casa entera,15347.0,Andria,7,4.5,https://www.airbnb.mx/rooms/5987955?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,10.0, '3 recámaras', '8 camas', '3 baños completos y uno de tocador',3.0,8.0,3.0
Jackson Hole Ski Area,Outpost: Timber Ridge 9 - Air Conditioned,Casa adosada completa,16390.0,Outpost,4,4.5,https://www.airbnb.mx/rooms/13766531?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,10.0, '4 recámaras', '8 camas', '3 baños',4.0,8.0,3.0
Jackson Hole Ski Area,Two Bedroom one bath codo,Departamento entero,7703.0,Andrew,2,,https://www.airbnb.mx/rooms/4325098?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,5.0, '2 recámaras', '3 camas', '1 baño',2.0,3.0,1.0
Jackson Hole Ski Area,Comfy Condo Short Walk to Chairlift,Condominio completo,4228.0,Clifford,12,5.0,https://www.airbnb.mx/rooms/1796961?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,6.0, '2 recámaras', '5 camas', '2 baños',2.0,5.0,2.0
Jackson Hole Ski Area,New Luxury Private Mountain Home - Teton Village,Casa entera,41988.0,Meyer,,,https://www.airbnb.mx/rooms/36413579?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,16.0, '5 recámaras', '8 camas', '5,5.0,8.0,5.0
Jackson Hole Ski Area,"Gorgeous View JH Mountain, CS 306, Next to Tram",Condominio completo,19208.0,Robyn,6,5.0,https://www.airbnb.mx/rooms/9350169?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,12.0, '3 recámaras', '6 camas', '3 baños completos y uno de tocador',3.0,6.0,3.0
Jackson Hole Ski Area,"Ski-in, Ski-Out, Hot Tub, Granite Ridge Home",Cabaña entera,33359.0,Jim,1,,https://www.airbnb.mx/rooms/20522958?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,16.0, '6 recámaras', '8 camas', '6 baños',6.0,8.0,6.0
Jackson Hole Ski Area,Jackson Hole condo in Four Seasons on mountain,Condominio completo,33011.0,Maytal And Ken,2,,https://www.airbnb.mx/rooms/31169124?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,8.0, '3 recámaras', '4 camas', '3 baños',3.0,4.0,3.0
Jackson Hole Ski Area,Teton Club-Ski-in/Out to Tram & Gondola-3 Bdrm-Sun,Habitación privada en complejo turístico,10328.0,Timothy,,,https://www.airbnb.mx/rooms/23141723?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,8.0, '3 recámaras', '6 camas', '3 baños',3.0,6.0,3.0
Jackson Hole Ski Area,Teton Club-Ski-in/Out to Tram & Gondola-2 Bedroom,Habitación privada en complejo turístico,8263.0,Timothy,,,https://www.airbnb.mx/rooms/15338930?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,6.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Jackson Hole Ski Area,Four Seasons Slope-side Residence,Condominio completo,57915.0,Natalie,3,4.5,https://www.airbnb.mx/rooms/10203040?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,12.0, '3 recámaras', '7 camas', '4,3.0,7.0,4.0
Jackson Hole Ski Area,"Remodeled, Ski In/Out, Sleeps 14",Casa entera,28957.0,David,4,5.0,https://www.airbnb.mx/rooms/10536841?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,14.0, '5 recámaras', '11 camas', '4 baños',5.0,11.0,4.0
Jackson Hole Ski Area,Mountain View,Casa entera,13513.0,Ashley,5,5.0,https://www.airbnb.mx/rooms/13494528?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,8.0, '4 recámaras', '5 camas', '3 baños',4.0,5.0,3.0
Jackson Hole Ski Area,Luxury Condo at the Four Seasons Resort,Habitación privada en complejo turístico,57915.0,Erica,1,,https://www.airbnb.mx/rooms/2934255?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,8.0, '3 recámaras', '5 camas', '3 baños',3.0,5.0,3.0
Jackson Hole Ski Area,Luxury Ski-in/Ski-Out 3BR Teton Club Villa,Departamento con servicios completo,15444.0,Chimera Vacations LLC,,,https://www.airbnb.mx/rooms/32250421?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,8.0, '3 recámaras', '4 camas', '3 baños',3.0,4.0,3.0
Jackson Hole Ski Area,Luxury Ski-In/Ski-Out 2BR Teton Club Villa,Departamento con servicios completo,11583.0,Chimera Vacations LLC,,,https://www.airbnb.mx/rooms/32245144?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,6.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Jackson Hole Ski Area,Snow Ridge,Condominio completo,24131.0,The Clear Creek Group,,,https://www.airbnb.mx/rooms/20069800?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,8.0, '4 recámaras', '5 camas', '4 baños'],4.0,5.0,4.0
Jackson Hole Ski Area,Lodge at Shooting Star 4,Casa entera,50869.0,The Clear Creek Group,,,https://www.airbnb.mx/rooms/21007806?location=Jackson%20Hole%20Ski%20Area&previous_page_section_name=1000,8.0, '3 recámaras', '6 camas', '3 baños completos y uno de tocador'],3.0,6.0,3.0
Purgatory Resort,Ski Condominium...ski in ski out,Condominio completo,1390.0,Norm,117,5.0,https://www.airbnb.mx/rooms/4445292?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Purgatory Resort,Slopeside Condo Purgatory Durango Mountain Resort,Condominio completo,1351.0,David,43,5.0,https://www.airbnb.mx/rooms/23188788?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Purgatory Resort,Epic Purg Retreat - Summer Adventure & Hiking,Condominio completo,1699.0,Kaysha,23,5.0,https://www.airbnb.mx/rooms/31103549?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, 'estudio', '3 camas', '1 baño',0.5,3.0,1.0
Purgatory Resort,The Refuge,Departamento entero,1332.0,Susan,,,https://www.airbnb.mx/rooms/37054581?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '2 recámaras', '3 camas', '1 baño',2.0,3.0,1.0
Purgatory Resort,Explore the San Juan's!,Condominio completo,1023.0,Lisa,45,5.0,https://www.airbnb.mx/rooms/27581339?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Purgatory Resort,"NEW LISTING! Ski-in/out condo w/shared pool & hot tub, mountain & resort views",Departamento entero,1429.0,Vacasa Colorado,4,3.0,https://www.airbnb.mx/rooms/28091644?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Purgatory Resort,Slopeside Studio-Great Value!,Condominio completo,1544.0,Rick,31,5.0,https://www.airbnb.mx/rooms/16992411?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, 'estudio', '1 cama', '1 baño',0.5,1.0,1.0
Purgatory Resort,Mountain Getaway,Condominio completo,2413.0,Nikolas,3,5.0,https://www.airbnb.mx/rooms/36355584?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '1 recámara', '3 camas', '1 baño',1.0,3.0,1.0
Purgatory Resort,Ski in/Ski Out - Great Views - Deck - Affordable,Departamento entero,1448.0,Premier Vacation Rentals,6,5.0,https://www.airbnb.mx/rooms/16253089?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
